epoch,train_loss,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.7335108224461949,0.5055594797070956,0.029585798816568046,0.9042553191489362,0.057296932928884395,0.9769293851078478,0.7477182121564202
2,0.4645086177385168,0.386214685891208,0.04043767840152236,0.9042553191489362,0.07741347905282331,0.9768599040711006,0.7102707319623514
3,0.35808658734312787,0.33788835692667246,0.04030346135609293,0.9042553191489362,0.07716749886518384,0.9772457116116333,0.7301598330055029
4,0.29507169778218795,0.31498911981934946,0.038202247191011236,0.9042553191489362,0.07330746011211729,0.9786226567520357,0.7261988321014634
5,0.2778182363297952,0.3144747731000046,0.04193076548025353,0.9148936170212766,0.08018648018648018,0.9766100540186893,0.7438111480893245
6,0.2559638798851328,0.3134574342526595,0.045064377682403435,0.8936170212765957,0.08580183861082738,0.9758790008401572,0.7614025450097002
7,0.2472294442869232,0.3072734693768886,0.05240174672489083,0.8936170212765957,0.09899823217442545,0.9769427179554397,0.7601465372609126
8,0.22375512262311462,0.3127676854167271,0.0594059405940594,0.8936170212765957,0.11140583554376658,0.975218743204473,0.7594542683509768
9,0.22473612241949192,0.31718791843285193,0.061764705882352944,0.8936170212765957,0.1155433287482806,0.9748107768468154,0.7657838124769074
10,0.19890378388440616,0.32405701977102247,0.05854322668481961,0.9148936170212766,0.11004478566858605,0.9739994449028523,0.7649347507092659
11,0.19763102757758141,0.3343542027511789,0.059691011235955056,0.9042553191489362,0.11198945981554677,0.9715220703696428,0.7757992048699615
12,0.18992137624956976,0.3267724707907796,0.058265582655826556,0.9148936170212766,0.10955414012738854,0.9737727864937877,0.7708975035462989
13,0.20107019045305527,0.32774841144585126,0.055266579973992196,0.9042553191489362,0.10416666666666667,0.9738763507958583,0.7475027033905346
14,0.17204517917752696,0.334323946001803,0.06729264475743349,0.9148936170212766,0.12536443148688048,0.9732111168156502,0.7491775440702694
15,0.19173050615584744,0.33368186750163253,0.06475903614457831,0.9148936170212766,0.1209563994374121,0.974087610704887,0.7626700858144022
16,0.16814232175146657,0.3345193305936708,0.06991869918699187,0.9148936170212766,0.1299093655589124,0.973796635390185,0.7680412324866891
17,0.16015526234690453,0.33987750450095183,0.07154742096505824,0.9148936170212766,0.13271604938271606,0.973588380066529,0.7568901989434915
