Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,FP,FN,Business Cost
Logistic Regression,0.99,0.9989955239135798,0.6696428571428571,0.7894736842105263,0.7246376811594203,0.9549214070639345,0.6760559943898585,37,20,237
Random Forest,0.44,0.9994184612131252,0.8690476190476191,0.7684210526315789,0.8156424581005587,0.9428310365683145,0.8027405182514374,11,22,231
HistGradientBoosting,0.6,0.9988721672012124,0.6347826086956522,0.7684210526315789,0.6952380952380952,0.9208532575724495,0.6886160590027279,42,22,262
PyTorch MLP,0.99,0.9993303492757198,0.8131868131868132,0.7789473684210526,0.7956989247311828,0.9598791864128379,0.6828562447024807,17,21,227
